,Zip Code,Count of Crimes,Population - Total,Crime Rate Per 100 People
0,60601,4777,15083,31.671418152887355
1,60602,5148,1145,449.6069868995633
2,60605,2341,29060,8.055746730901584
3,60606,1790,3287,54.45695162762397
4,60607,3016,29293,10.295975147646196
5,60608,3247,80059,4.055758877827602
6,60609,3666,60939,6.015851917491262
7,60610,2600,40548,6.412153497089869
8,60611,111,33224,0.33409583433662415
9,60612,6143,33735,18.209574625759597
10,60613,2019,50761,3.9774630129430077
11,60614,3296,71954,4.580704338883175
12,60615,4175,40590,10.285784676028578
13,60616,4249,54197,7.839917338598077
14,60617,5478,83553,6.55631754694625
15,60618,3739,94907,3.939646179944577
16,60619,10729,61207,17.529040795987388
17,60620,11294,67711,16.679712306715306
18,60621,11178,28018,39.895781283460636
19,60622,5518,53294,10.353885990918302
20,60623,8842,81283,10.878043379304406
21,60624,12999,34892,37.2549581565975
22,60625,3736,79444,4.702683651377071
23,60626,3058,50544,6.050174105729661
24,60628,8802,64254,13.698758053973293
25,60629,5643,110029,5.128647901916768
26,60630,2131,56433,3.776159339393617
27,60631,1004,29529,3.400047411019676
28,60632,4863,89857,5.411932292420179
29,60633,662,12689,5.217117188115691
30,60634,1361,75082,1.8126847979542364
31,60636,12043,30024,40.11124433786304
32,60637,6980,47300,14.756871035940803
33,60638,1996,58669,3.4021374149891765
34,60639,7250,88204,8.219581878372862
35,60640,3310,69363,4.771996597609677
36,60641,4919,69880,7.03921007441328
37,60642,1932,19716,9.799147900182593
38,60643,4449,48887,9.100578886002413
39,60644,9072,46591,19.471571762786805
40,60645,1554,47270,3.2874973556166704
41,60646,568,28569,1.9881689943645209
42,60647,6703,87633,7.648945032122602
43,60649,11667,46633,25.01876353655137
44,60651,8716,63492,13.727713727713727
45,60652,2572,43447,5.919856376734872
46,60653,4841,33154,14.601556373288291
47,60654,2566,20022,12.815902507242033
48,60655,847,28569,2.9647520039203332
49,60656,540,28218,1.913672124176058
50,60657,5191,70958,7.315595140787508
51,60659,2199,42735,5.145665145665146
52,60660,1999,44498,4.492336734235247
53,60707,1262,43093,2.928549880491031
54,60827,1365,28483,4.792332268370607
